"","Gene.names","LOG2.H0_1","LOG2.H0_2","LOG2.H0_3","LOG2.Hc_1","LOG2.Hc_2","LOG2.Hc_3","logFC","p.val"
"49","OCIAD1",-1.73883648637253,-1.85219220749123,-1.93414112734145,-0.202536626621313,-0.06171359555848,-0.256575771472829,1.66811460918419,6.82106676549754e-05
"50","HADHB",-0.667611805165677,0.394275933691485,0.00109502475153889,3.26174932606418,3.70093323734357,2.82789879669071,3.35427406894037,7.40239131133165e-05
"51","ATP6V1F",-4.25713085998796,-4.71675389174433,-3.8886665165846,-2.00031949840478,-1.7068669480113,-1.54126588074582,2.53803298038499,7.76517925880992e-05
"52","LETM1",-3.05392110705391,-0.143721981323992,-1.65036524810193,4.34871247497879,5.02364339490386,4.38911584697203,6.20316001777817,0.000112322852118614
"53","SF3B5",0.33537713615987,0.0954857512044569,0.395481041233165,-1.41227147298629,-1.17094266531324,-1.44253898300691,-1.61736568330131,0.00013487675032988
"54","COX5A",2.18153343972766,2.80444597048972,2.02455462811069,4.63256703706172,5.29222028564229,4.67716133631296,2.53047154022963,0.000142618169920026
"55","HADHA",-2.49192111799478,0.0513593961687668,-0.591196486791105,4.64800324305184,5.08940867788187,4.05497213074263,5.60804742009781,0.000147283222263324
"56","SQRDL",-4.6779655024851,-3.10418544483472,-4.1271699006121,0.804293959567296,-0.210779405923976,-0.345997367259546,4.0522793447719,0.000162530894501383
"57","ATP5S",-4.74146552816936,-4.07600682019493,-4.63538845187616,-2.41222896012981,-2.72041878189661,-2.21975703633164,2.03348534062747,0.000206194943573155
"58","KIF11",3.1438596042232,3.32009529261827,3.19942427917708,1.57005736034725,1.91324127499519,1.80501808620794,-1.45835415148939,0.000211044610925161
"59","HIGD1A",-5.8774594244918,-4.31391139247745,-3.80003251491829,-0.646974321532181,-0.0260578132777276,-0.61732421369414,4.2336823277945,0.000225462507002199
"60","MT-ATP6",-4.29351450454055,-0.089050113232485,-0.551206246641478,6.8001576379345,6.4503612441724,6.62545276365691,8.26991417005944,0.000232338657434966
"61","OTUD4",2.72249392986749,2.78796995279389,2.69032872543968,1.38857027951885,1.43266374988033,1.52875220691628,-1.28360212392853,0.000239246130020759
"62","SF3B2",1.85516940758321,2.25791019437307,2.04318435986532,0.355399868581991,0.695495218515109,0.394604317061077,-1.57025485255447,0.000244300684389782
"63","ATPIF1",1.37503640542813,1.15068994757558,1.73195700700573,3.56534244635744,3.41459235966201,4.36253636486101,2.36159593695701,0.000270571338840842
"64","COX15",-4.05408146168627,-4.71518941571248,-5.19878883569918,-1.86989209155716,-0.953128535346604,-2.01971526529971,3.04177460696482,0.000278285390264725
"65","MYBBP1A",-0.393516120169743,-0.285675591108802,-0.262095762312789,-2.11023159865241,-2.14326513440717,-1.583272390337,-1.63182721660175,0.000285537571229829
"66","FAM210A",-4.40371038745305,-4.47711060312391,-4.68984667164453,-2.38277315862639,-0.949058785682404,-0.961359775294977,3.09249198087257,0.000289223439145397
"67","YME1L1",-5.04404087687245,-3.35261327951581,-3.42088609194736,-0.317860680319715,0.493320051880623,1.325709904883,4.43956984159317,0.000295562146142186
"68","HCCS",-6.29665063914452,-2.45292753776668,-6.47551435951492,2.36420639909417,2.89599832722638,2.83992794483079,7.77507506919249,0.00031275564013225
"69","PRKAR1A",-1.08603094493217,-0.666251391505398,-0.945187115370615,-2.59239314607696,-2.22030194013612,-2.37483411139075,-1.49668658193188,0.00034440874494794
"70","AGPS",-1.68046149180556,-4.22166067598899,-3.8286533654678,2.03859341608794,1.23350632065991,1.26046985393269,4.75444837464763,0.000405293992292782
"71","SLC25A6",2.214663813255,2.51931432664892,2.10035702002394,3.63295335251212,4.09081007768941,3.67665521631447,1.52202782886271,0.000458454393766904
"72","THOC2",1.89650026737018,2.25857659385188,2.32136461549957,0.884742396696577,0.59737743735397,0.799356993903722,-1.39832154958912,0.000461513941520988
"73","SNRPA1",0.0578451713011106,0.961989668502873,1.00371189363118,-1.42905526580765,-1.20337215194911,-1.40290838795537,-2.0196275130491,0.000490622704505884
"74","SLC25A4",-1.61773886797523,-1.01598021022425,-2.15651361437909,0.465286226150727,1.51973262813458,1.31498518460118,2.69674557715502,0.000496640643113552
"75","SLC35A4",-4.04766724079105,-2.47616420358795,-3.17053544738146,-0.681270077650211,0.455984317018828,0.0613836875007756,3.17682160620995,0.000521973968609465
"76","PRMT5",9.30573247080925,9.54700287534908,9.39286038332206,8.01758638350343,8.2988750889521,8.24028971245751,-1.22961484818911,0.000529664723396159
"77","SF3B1",3.18042573345463,3.75553233495529,3.58551011698922,1.8039737824886,2.06098312837454,2.15953066596721,-1.4989935361896,0.000560420161356115
"78","ACADVL",-0.549814427031713,-0.820447096795156,-0.545028161688073,1.85392141319334,0.805968037811951,1.31104468260971,1.96207460637665,0.000570115956699298
"79","OPA1",-4.3595706942773,-4.30149030048648,-4.31660231998406,-2.74926394740738,-2.10761845947936,-2.97799821324547,1.71426089820521,0.000597393076085702
"80","CYB5A",-1.64172820877908,-1.85686304097283,-1.58114134866703,-0.500358866182914,-0.560366765157823,-0.207353661192244,1.27055110196199,0.00060584982095367
"81","SNRPD1",3.00861798887235,3.15398152718875,3.07551091154448,2.07941628365827,1.91701758552372,1.75188156766456,-1.16326499691968,0.000660600234801436
"82","RAB5C",-0.7036978928247,-0.00470041410745026,-0.154718165801022,1.32406691098798,1.96328549887765,2.40683178808467,2.18576689022782,0.000662198290184048
"83","WDR77",8.23174581398523,8.30393688574788,8.23454533104396,6.93374030479366,7.26233647012853,7.13165069471751,-1.14750018704579,0.000674454298862015
"84","SNRPB2",-1.1191808633672,-0.934666520736563,-0.580743405799332,-4.49728334733805,-2.82085400489738,-4.49701164013829,-3.06018606749021,0.000738522345194183
"85","SNRPN",3.8700634500396,4.34565048819083,4.04246276546859,2.86244655928817,2.89041566504413,2.82824062705385,-1.22569128410429,0.000761919956388191
"86","NOLC1",3.2451622039483,3.29765841666704,3.6595139574314,2.26114967448911,1.67894710882246,1.9005437932806,-1.45389800048485,0.000787548250034392
"87","GEMIN2",-1.6090809299171,0.00470041410745026,0.483122327107314,-3.58321700663162,-4.71880770509076,-5.480192482733,-4.22031966858435,0.000810770398662608
"88","HM13",-1.70782148096172,-2.0447318805919,-0.883158340700192,0.241186250577961,0.967153396910977,0.798101121430562,2.21405082372444,0.000850023531902519
